50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
20230911, TimePassed: 33 days, 20:00:00, reqId: 419, Date: 20230808 04:00:00 US/Eastern, O: 4528.25, H: 4529.25, L: 4519.5, C 4524.0
20230911, TimePassed: 33 days, 19:00:00, reqId: 419, Date: 20230808 05:00:00 US/Eastern, O: 4524.0, H: 4524.75, L: 4513.5, C 4518.25
20230911, TimePassed: 33 days, 18:00:00, reqId: 419, Date: 20230808 06:00:00 US/Eastern, O: 4518.25, H: 4520.25, L: 4511.0, C 4513.0
20230911, TimePassed: 33 days, 17:00:00, reqId: 419, Date: 20230808 07:00:00 US/Eastern, O: 4513.0, H: 4513.25, L: 4501.25, C 4506.5
20230911, TimePassed: 33 days, 16:00:00, reqId: 419, Date: 20230808 08:00:00 US/Eastern, O: 4506.5, H: 4509.75, L: 4495.5, C 4507.0
20230911, TimePassed: 33 days, 15:00:00, reqId: 419, Date: 20230808 09:00:00 US/Eastern, O: 4506.75, H: 4511.5, L: 4490.25, C 4495.5
20230911, TimePassed: 33 days, 14:00:00, reqId: 419, Date: 20230808 10:00:00 US/Eastern, O: 4495.25, H: 4498.5, L: 4483.25, C 4484.75
20230911, TimePassed: 33 days, 13:00:00, reqId: 419, Date: 20230808 11:00:00 US/Eastern, O: 4484.75, H: 4492.75, L: 4482.0, C 4486.25
20230911, TimePassed: 33 days, 12:00:00, reqId: 419, Date: 20230808 12:00:00 US/Eastern, O: 4486.25, H: 4499.25, L: 4485.5, C 4495.5
20230911, TimePassed: 33 days, 11:00:00, reqId: 419, Date: 20230808 13:00:00 US/Eastern, O: 4495.5, H: 4503.75, L: 4494.75, C 4502.25
20230911, TimePassed: 33 days, 10:00:00, reqId: 419, Date: 20230808 14:00:00 US/Eastern, O: 4502.25, H: 4515.5, L: 4499.0, C 4513.0
20230911, TimePassed: 33 days, 9:00:00, reqId: 419, Date: 20230808 15:00:00 US/Eastern, O: 4513.25, H: 4522.25, L: 4511.25, C 4517.25
20230911, TimePassed: 33 days, 8:00:00, reqId: 419, Date: 20230808 16:00:00 US/Eastern, O: 4517.5, H: 4518.75, L: 4515.5, C 4517.0
20230911, TimePassed: 33 days, 6:00:00, reqId: 419, Date: 20230808 18:00:00 US/Eastern, O: 4516.5, H: 4518.0, L: 4515.5, C 4516.25
20230911, TimePassed: 33 days, 5:00:00, reqId: 419, Date: 20230808 19:00:00 US/Eastern, O: 4516.0, H: 4517.75, L: 4515.5, C 4516.25
20230911, TimePassed: 33 days, 4:00:00, reqId: 419, Date: 20230808 20:00:00 US/Eastern, O: 4516.5, H: 4521.75, L: 4515.5, C 4520.0
20230911, TimePassed: 33 days, 3:00:00, reqId: 419, Date: 20230808 21:00:00 US/Eastern, O: 4520.25, H: 4524.5, L: 4520.0, C 4522.0
20230911, TimePassed: 33 days, 2:00:00, reqId: 419, Date: 20230808 22:00:00 US/Eastern, O: 4521.5, H: 4523.5, L: 4520.25, C 4523.5
20230911, TimePassed: 33 days, 1:00:00, reqId: 419, Date: 20230808 23:00:00 US/Eastern, O: 4523.5, H: 4523.75, L: 4520.0, C 4520.75
20230911, TimePassed: 33 days, 0:00:00, reqId: 419, Date: 20230809 00:00:00 US/Eastern, O: 4521.0, H: 4522.75, L: 4520.0, C 4522.5
20230911, TimePassed: 32 days, 23:00:00, reqId: 419, Date: 20230809 01:00:00 US/Eastern, O: 4522.5, H: 4527.0, L: 4522.25, C 4524.25
20230911, TimePassed: 32 days, 22:00:00, reqId: 419, Date: 20230809 02:00:00 US/Eastern, O: 4524.25, H: 4527.5, L: 4522.5, C 4526.25
20230911, TimePassed: 32 days, 21:00:00, reqId: 419, Date: 20230809 03:00:00 US/Eastern, O: 4526.5, H: 4534.0, L: 4522.75, C 4529.5
20230911, TimePassed: 32 days, 20:00:00, reqId: 419, Date: 20230809 04:00:00 US/Eastern, O: 4529.75, H: 4535.75, L: 4527.25, C 4534.25
20230911, TimePassed: 32 days, 19:00:00, reqId: 419, Date: 20230809 05:00:00 US/Eastern, O: 4534.25, H: 4536.25, L: 4528.75, C 4530.25
20230911, TimePassed: 32 days, 18:00:00, reqId: 419, Date: 20230809 06:00:00 US/Eastern, O: 4530.0, H: 4533.25, L: 4526.5, C 4527.0
20230911, TimePassed: 32 days, 17:00:00, reqId: 419, Date: 20230809 07:00:00 US/Eastern, O: 4526.75, H: 4532.75, L: 4523.0, C 4531.5
