50*#
START: 20230425 00:00:00 US/Central END: 20230515 00:00:00 US/Central
reqId: 419, Date: 20230503 12:00:00 US/Central, O: 4149.25, H: 4153.75, L: 4147.0, C 4150.5
reqId: 419, Date: 20230503 13:00:00 US/Central, O: 4149.0, H: 4167.0, L: 4130.75, C 4150.0
reqId: 419, Date: 20230503 14:00:00 US/Central, O: 4150.25, H: 4159.0, L: 4105.0, C 4107.5
reqId: 419, Date: 20230503 15:00:00 US/Central, O: 4107.5, H: 4117.0, L: 4094.75, C 4097.0
reqId: 419, Date: 20230503 17:00:00 US/Central, O: 4088.25, H: 4091.0, L: 4076.25, C 4089.5
reqId: 419, Date: 20230503 18:00:00 US/Central, O: 4089.5, H: 4093.75, L: 4086.25, C 4093.5
reqId: 419, Date: 20230503 19:00:00 US/Central, O: 4093.5, H: 4098.5, L: 4093.0, C 4096.25
reqId: 419, Date: 20230503 20:00:00 US/Central, O: 4096.5, H: 4105.5, L: 4095.25, C 4104.0
reqId: 419, Date: 20230503 21:00:00 US/Central, O: 4104.0, H: 4113.0, L: 4103.75, C 4111.75
reqId: 419, Date: 20230503 22:00:00 US/Central, O: 4112.0, H: 4114.25, L: 4111.25, C 4112.75
reqId: 419, Date: 20230503 23:00:00 US/Central, O: 4112.75, H: 4118.0, L: 4109.25, C 4115.75
reqId: 419, Date: 20230504 00:00:00 US/Central, O: 4115.5, H: 4117.75, L: 4113.5, C 4116.25
reqId: 419, Date: 20230504 01:00:00 US/Central, O: 4116.25, H: 4117.0, L: 4107.75, C 4112.75
reqId: 419, Date: 20230504 02:00:00 US/Central, O: 4113.0, H: 4115.75, L: 4098.25, C 4113.75
reqId: 419, Date: 20230504 03:00:00 US/Central, O: 4113.75, H: 4114.0, L: 4103.75, C 4105.25
reqId: 419, Date: 20230504 04:00:00 US/Central, O: 4105.0, H: 4109.25, L: 4100.75, C 4101.75
reqId: 419, Date: 20230504 05:00:00 US/Central, O: 4101.75, H: 4105.0, L: 4093.75, C 4096.5
reqId: 419, Date: 20230504 06:00:00 US/Central, O: 4096.75, H: 4097.5, L: 4091.0, C 4094.0
reqId: 419, Date: 20230504 07:00:00 US/Central, O: 4094.25, H: 4101.5, L: 4086.5, C 4095.25
reqId: 419, Date: 20230504 08:00:00 US/Central, O: 4095.25, H: 4100.25, L: 4073.75, C 4081.0
reqId: 419, Date: 20230504 09:00:00 US/Central, O: 4081.0, H: 4085.0, L: 4063.0, C 4073.5
reqId: 419, Date: 20230504 10:00:00 US/Central, O: 4073.75, H: 4090.5, L: 4067.0, C 4068.75
reqId: 419, Date: 20230504 11:00:00 US/Central, O: 4068.5, H: 4083.75, L: 4062.25, C 4083.5
reqId: 419, Date: 20230504 12:00:00 US/Central, O: 4083.5, H: 4097.0, L: 4080.75, C 4087.0
reqId: 419, Date: 20230504 13:00:00 US/Central, O: 4087.0, H: 4088.0, L: 4071.25, C 4077.75
reqId: 419, Date: 20230504 14:00:00 US/Central, O: 4077.75, H: 4088.5, L: 4071.0, C 4077.25
reqId: 419, Date: 20230504 15:00:00 US/Central, O: 4077.25, H: 4084.5, L: 4071.5, C 4074.5
reqId: 419, Date: 20230504 17:00:00 US/Central, O: 4077.5, H: 4088.25, L: 4076.75, C 4088.0
reqId: 419, Date: 20230504 18:00:00 US/Central, O: 4088.25, H: 4090.5, L: 4085.75, C 4087.75
reqId: 419, Date: 20230504 19:00:00 US/Central, O: 4087.5, H: 4093.5, L: 4082.5, C 4091.25
reqId: 419, Date: 20230504 20:00:00 US/Central, O: 4091.0, H: 4093.0, L: 4088.75, C 4091.75
reqId: 419, Date: 20230504 21:00:00 US/Central, O: 4092.0, H: 4092.25, L: 4086.75, C 4089.5
reqId: 419, Date: 20230504 22:00:00 US/Central, O: 4089.5, H: 4092.75, L: 4089.25, C 4092.5
reqId: 419, Date: 20230504 23:00:00 US/Central, O: 4092.25, H: 4092.5, L: 4091.0, C 4092.25
reqId: 419, Date: 20230505 00:00:00 US/Central, O: 4092.0, H: 4092.5, L: 4088.75, C 4090.5
reqId: 419, Date: 20230505 01:00:00 US/Central, O: 4090.25, H: 4094.25, L: 4087.75, C 4093.75
reqId: 419, Date: 20230505 02:00:00 US/Central, O: 4093.75, H: 4095.75, L: 4085.75, C 4090.25
reqId: 419, Date: 20230505 03:00:00 US/Central, O: 4090.25, H: 4096.5, L: 4085.5, C 4095.25
reqId: 419, Date: 20230505 04:00:00 US/Central, O: 4095.25, H: 4097.5, L: 4091.75, C 4096.5
reqId: 419, Date: 20230505 05:00:00 US/Central, O: 4096.5, H: 4102.75, L: 4095.75, C 4100.75
reqId: 419, Date: 20230505 06:00:00 US/Central, O: 4100.75, H: 4107.5, L: 4099.25, C 4105.0
reqId: 419, Date: 20230505 07:00:00 US/Central, O: 4105.25, H: 4113.0, L: 4093.5, C 4104.75
reqId: 419, Date: 20230505 08:00:00 US/Central, O: 4104.75, H: 4128.75, L: 4104.25, C 4126.5
reqId: 419, Date: 20230505 09:00:00 US/Central, O: 4126.5, H: 4141.75, L: 4125.75, C 4136.0
reqId: 419, Date: 20230505 10:00:00 US/Central, O: 4136.25, H: 4140.5, L: 4132.0, C 4135.75
reqId: 419, Date: 20230505 11:00:00 US/Central, O: 4135.75, H: 4137.0, L: 4127.5, C 4136.5
reqId: 419, Date: 20230505 12:00:00 US/Central, O: 4136.5, H: 4146.0, L: 4136.25, C 4144.5
reqId: 419, Date: 20230505 13:00:00 US/Central, O: 4144.5, H: 4163.25, L: 4143.0, C 4158.75
reqId: 419, Date: 20230505 14:00:00 US/Central, O: 4158.75, H: 4161.5, L: 4147.5, C 4151.75
reqId: 419, Date: 20230505 15:00:00 US/Central, O: 4151.5, H: 4153.0, L: 4146.75, C 4148.75
reqId: 419, Date: 20230507 17:00:00 US/Central, O: 4150.5, H: 4154.5, L: 4149.5, C 4151.0
reqId: 419, Date: 20230507 18:00:00 US/Central, O: 4151.25, H: 4154.25, L: 4146.0, C 4146.25
reqId: 419, Date: 20230507 19:00:00 US/Central, O: 4146.25, H: 4148.25, L: 4143.0, C 4145.75
reqId: 419, Date: 20230507 20:00:00 US/Central, O: 4145.75, H: 4149.25, L: 4143.5, C 4147.5
reqId: 419, Date: 20230507 21:00:00 US/Central, O: 4147.75, H: 4151.0, L: 4146.25, C 4150.25
reqId: 419, Date: 20230507 22:00:00 US/Central, O: 4150.25, H: 4152.5, L: 4146.25, C 4146.5
reqId: 419, Date: 20230507 23:00:00 US/Central, O: 4146.5, H: 4147.75, L: 4145.75, C 4146.5
reqId: 419, Date: 20230508 00:00:00 US/Central, O: 4146.5, H: 4149.0, L: 4146.0, C 4147.0
reqId: 419, Date: 20230508 01:00:00 US/Central, O: 4147.0, H: 4150.5, L: 4146.75, C 4149.25
